通道编号,平均高度(km),水云(LW)_综合得分,过冷水云(SLW)_综合得分,混合云(MP)_综合得分,冰云(Ice)_综合得分
1,0.58657,0.28201937586794734,0.2496618268748458,0.1721535662128946,0.36854610413684963
2,0.70391,0.29943288609362584,0.2425467782394163,0.25143810903147784,0.5629379016357307
3,0.70391,0.31098591801841896,0.24522669567234445,0.21180237998366744,0.5602536658060294
4,0.70391,0.46332985761565304,0.3201075145020203,0.3731521140326306,0.4237420261895291
5,0.70391,0.42434233584502906,0.3562114161523757,0.37377778994073135,0.5057300708666077
6,0.70391,0.4029459237907609,0.3524653216327118,0.49999440544154944,0.4396270481966744
7,0.70391,0.22542716138059862,0.26463604793899176,0.1941084546149361,0.3814593365047934
8,0.70391,0.24117641459217795,0.2275442483869392,0.2589030477157204,0.3779664249931358
9,0.70391,0.4704881430391457,0.30413840288246646,0.444016200751916,0.4356373703707905
10,0.70391,0.45344693395208896,0.32975420819347523,0.4420007811555083,0.45675418133058043
11,0.70391,0.43651109949846784,0.2895105212118386,0.43527777446615085,0.43479768715214767
12,0.822845,0.3107992083475315,0.273120163106318,0.2749881276011579,0.6337633239433383
13,0.822845,0.35933634403986797,0.3023586280176425,0.4133292062049328,0.47909208453996865
14,0.822845,0.45241401481752924,0.3344748372315609,0.4681342710804963,0.45661579644149897
15,0.825025,0.3919439092989066,0.31567644361577374,0.42986793954621044,0.4737467480925536
16,0.825025,0.39649832911462596,0.25480936787369063,0.30919271946020643,0.39634947532020587
17,0.825025,0.3309577671987677,0.6338982707646883,0.23301885123803448,0.5014603422227936
18,0.94396,0.6131579881872038,0.4504474928899697,0.8146323759725288,0.50015927693497
19,1.0644,0.43035429360828087,0.4217121398782264,0.5718364177604752,0.5012751133452056
20,1.0644,0.5730607118896606,0.41145743951974634,0.6518541808152568,0.43269628959482925
21,1.0644,0.6125208308007123,0.3650335683521095,0.623334432428531,0.4484739347340209
22,1.0644,0.3225895402888798,0.2662889240602115,0.36548063945359305,0.4115092600056609
23,1.0644,0.4065322574552548,0.2806251113519082,0.4700451399551084,0.4726387313045208
24,1.0644,0.25518607198067433,0.26820428222376064,0.30229817986903745,0.6574014135674204
25,1.06639,0.3767660572960836,0.26733473592182005,0.41717962112000245,0.43385333088099626
26,1.185515,0.4591442167951441,0.4606967600914651,0.6872612643296364,0.38347574083065566
27,1.185515,0.2479150110871794,0.38208641647906333,0.4760444999721683,0.5730831423057252
28,1.185515,0.23834934512132758,0.3271807978056778,0.2028957732306347,0.33507538937942566
29,1.185515,0.24579334820736265,0.41420597995178204,0.33573893893177426,0.488769044983065
30,1.30663,0.2408913489500276,0.31461883342891267,0.5079974903915754,0.4638839268970942
31,1.30663,0.2300423095597028,0.5216129679209912,0.1830100546444825,0.3459766219408252
32,1.307945,0.31823360755483404,0.27581051932047645,0.15337493315888653,0.2730049971173159
33,1.307945,0.2634676568769408,0.2734985175767785,0.17579451030628368,0.24402536791622298
34,1.307945,0.35699338487741067,0.2969280152305904,0.19548087945338632,0.32463585863755884
35,1.307945,0.3360168485136265,0.2462845936069942,0.17905244593852418,0.3750745896675223
36,1.42906,0.4347536321392127,0.25760894273059304,0.2703258495764276,0.41906847559292904
37,1.55698,0.40929652986469983,0.288168800497735,0.24629856232494374,0.46420813162091906
38,1.55698,0.28997414076448397,0.47567181313537515,0.3422787978406793,0.21928926945828653
39,1.55698,0.33025910484112975,0.261336513237542,0.17626817742578085,0.3717077027399988
40,1.55698,0.3739632807201258,0.2723577258172139,0.27130989157118207,0.46167452371938583
41,1.678095,0.40160766558510064,0.2939336602626746,0.24421759215265193,0.48750803089433714
42,1.678095,0.2881655000929915,0.4709342552381471,0.48123081528524586,0.1936739712492664
43,1.678095,0.2852792747022214,0.2890099596153209,0.28924045041881147,0.2950486145260917
44,1.678095,0.3353578441585549,0.28045961163279687,0.2278619986534687,0.4853089669490862
