通道编号,平均高度(km),水云(LW)_综合得分,过冷水云(SLW)_综合得分,混合云(MP)_综合得分,冰云(Ice)_综合得分
1,0.58657,0.1472639559229865,0.303709432790737,0.2513309105261155,0.3886031555353305
2,0.70391,0.16384338349329283,0.2963904099716968,0.3094217964004831,0.5080919597105811
3,0.70391,0.14616863248204004,0.30053145688542526,0.25750870483518895,0.39394872261170955
4,0.70391,0.1931891566624658,0.3489492377780426,0.3816235824453733,0.39644698497441583
5,0.70391,0.19269451690565434,0.42062422807128197,0.3300781658720611,0.38424103064233966
6,0.70391,0.17605421037475344,0.4259990936207409,0.43206980337367157,0.4261956378814212
7,0.70391,0.29499998151771095,0.31400363816832183,0.3250199567751969,0.5269944002157624
8,0.70391,0.3550392310702358,0.30961881304739536,0.3297701539931395,0.496487345364143
9,0.70391,0.24866253164811258,0.3042136311250036,0.4451248034826019,0.4376562158205557
10,0.70391,0.21283040204102754,0.3527415055345892,0.3968946193393798,0.5157319624749748
11,0.70391,0.31203098899585985,0.3103648357578506,0.44642759106114077,0.43181756022052237
12,0.822845,0.17068172025836578,0.5273628380865054,0.3560770687840522,0.4474672537796293
13,0.822845,0.2849439780604757,0.43165625360498483,0.48241954864107467,0.6438683000557665
14,0.822845,0.30841417824773343,0.42762886583952303,0.5043409112297178,0.5853699379458334
15,0.825025,0.26692870337310964,0.3961979603935583,0.46198371304925895,0.5834220278108885
16,0.825025,0.34102735186661054,0.3190267359977237,0.35163008838608767,0.4226255090941473
17,0.825025,0.27197677511470747,0.4231574107098302,0.4993850845389996,0.7896190616352867
18,0.94396,0.2516049384000104,0.4711837442805253,0.7039077449529492,0.46532066239430964
19,1.0644,0.19451093699307453,0.4712606339111736,0.45205425328402044,0.6037934968711435
20,1.0644,0.4272967431275472,0.28656487176985446,0.4391409230209515,0.3715255453615271
21,1.0644,0.29703359396960105,0.3807944442522449,0.5386994642582018,0.4573332794586851
22,1.0644,0.40385434933116243,0.32222045993385223,0.47513768798923756,0.43129483481533337
23,1.0644,0.38296565594452003,0.4185772642391126,0.6941642458745703,0.5056139336463085
24,1.0644,0.16690964112884119,0.37666756588933836,0.25966129653210474,0.44965269005229086
25,1.06639,0.339784000883334,0.28968424363810574,0.3379008623360264,0.38336737678105787
26,1.185515,0.14752565869103004,0.21804704310348835,0.13483409219513645,0.1892047440801078
27,1.185515,0.17352783131443372,0.5890162828503919,0.2098253483340906,0.3231910216920117
28,1.185515,0.21098591476631093,0.33424212830669836,0.1783224057868279,0.18749962101336173
29,1.185515,0.27193336287444786,0.6483242295995666,0.1927927486852228,0.22476449780544108
30,1.30663,0.15966053121920334,0.3447657579130537,0.1460181656567775,0.21233391803064472
31,1.30663,0.18851467870026198,0.7597678368577911,0.2039112183731188,0.28181160816017137
32,1.307945,0.14828472824740632,0.31373871115759827,0.19847624121329122,0.26412705474581966
33,1.307945,0.19852481168371958,0.28747353378684437,0.20495914960931608,0.279095051159819
34,1.307945,0.19279811371348998,0.3206569599100602,0.23182630746232058,0.31045996183834906
35,1.307945,0.1903421681402986,0.30116167836240454,0.2707538960969104,0.3667556200956468
36,1.42906,0.19785837271624854,0.2997709536127401,0.3463935349725593,0.40420548002665413
37,1.55698,0.15419564464488253,0.3522122814502849,0.2909452534574259,0.36097032857511985
38,1.55698,0.12095074045952102,0.3674320073485802,0.23358947511183273,0.2622811765892464
39,1.55698,0.1785861803030178,0.3178930256001053,0.25969895312520114,0.3709495145481465
40,1.55698,0.18490587616086307,0.3247548211409446,0.3270412966681542,0.40308562918971774
41,1.678095,0.15712632062646095,0.3820904179355608,0.2865872586159899,0.35950242715110287
42,1.678095,0.11850333146283619,0.3933843185925893,0.27117713769319746,0.2456652033755119
43,1.678095,0.1340544725727268,0.33583287946058515,0.28665557747200787,0.31317256567802765
44,1.678095,0.14108418854169222,0.3367142706157206,0.28295428672519823,0.37395317262004285
45,1.678095,0.12813901430842295,0.379863293763323,0.2668565223663604,0.2792810010989257
46,1.678095,0.2059652142243719,0.3228824899209454,0.27490868775841465,0.42726468250856003
47,1.678095,0.12500383592519532,0.36012321844229467,0.24623784837392526,0.2997108183812336
48,1.678095,0.19841515052959735,0.3866726422719149,0.32111062029594717,0.44244922800522063
49,1.678095,0.17961092908828535,0.3146727039937245,0.256349966366577,0.3580114708786724
50,1.800525,0.18550287774375984,0.31032215800199536,0.3350639981067971,0.3832802476556569
51,1.803315,0.15881999123710114,0.3722329059025962,0.2782479816598868,0.3495682886433973
52,1.803315,0.12814486388598878,0.3987651951998242,0.250325336378757,0.24110420188297096
53,1.803315,0.12674473047161852,0.3293829233659985,0.24739206891341983,0.289985643998678
54,1.803315,0.1382891766361355,0.33242400784122117,0.2584935937009338,0.33712660317390203
55,1.803315,0.14765968012224398,0.36780011194365664,0.27537146619167957,0.26038519257043635
56,1.803315,0.1930995294541825,0.31573606631535295,0.24919999706956075,0.3327326363679231
57,1.925745,0.1337899070471539,0.36152665173384935,0.22901761124390407,0.2791848295382986
58,2.04956,0.1898343861855947,0.36574777363704153,0.30581866394881146,0.3819512037547576
59,2.04956,0.12713123932838455,0.33687157599318707,0.2522219854012638,0.2918622131883622
60,2.04956,0.1623283539950715,0.3519078914738956,0.25529468981451836,0.31624527756122245
61,2.04956,0.15930108707749022,0.33668872369350805,0.2205712469015734,0.2873008028231539
62,2.17478,0.16155017204401106,0.34064878436034146,0.31127133538849355,0.37287717880951227
63,2.17478,0.18720045033057972,0.3448776144262317,0.3582652683650207,0.3877101621501382
64,2.17478,0.15832649639419913,0.3431492411782515,0.4176259559815625,0.485905255165518
65,2.17478,0.17730211862227743,0.41466342016561003,0.41163889058197073,0.4605251769321856
66,2.17478,0.1791487105415199,0.3763821021043893,0.38908782327612984,0.41468012057932824
67,2.17478,0.22311858303778312,0.28017717682631244,0.32887135460288713,0.455251145357499
68,2.17478,0.12253391738338264,0.36813247594675086,0.41675549123730454,0.26398264202447397
69,2.17478,0.18682673289738896,0.32496391364810745,0.36357484984560595,0.5523463458225287
70,2.17478,0.15782701806902885,0.3075731690800708,0.3950603938539588,0.6011193944712817
71,2.17478,0.3474173873666641,0.2829189822863095,0.36684943492729793,0.4243368075363894
72,2.17478,0.5749383446771951,0.39206210611492787,0.4822953709092233,0.44537465908334534
73,2.3,0.27633609408627746,0.3149055770378714,0.466254317372869,0.49400449068806696
74,2.3,0.6668681212358312,0.44483546807707897,0.7092097370220468,0.4177105507591163
75,2.3,0.2875383523304904,0.36561237829645216,0.46398378087406544,0.6854728151290889
76,2.3,0.395105102791252,0.36991274081599235,0.46200601297787086,0.6610044013668421
77,2.3,0.2971257277259736,0.47146224022438915,0.5455659317167848,0.5222473733327361
78,2.3,0.22918375718055883,0.2952209307010156,0.3074103656730202,0.574824428437038
79,2.42658,0.1602229183277111,0.44885611320179314,0.3646429428186249,0.6963818629602878
80,2.55316,0.32740338888060566,0.3571640109722598,0.5269567587057514,0.45910048249089624
81,2.68406,0.30517098771266443,0.41791988813285413,0.45344938515238026,0.6932488993965994
82,2.68406,0.5493454716512859,0.333639384978238,0.5845476796605015,0.370650925634471
83,2.68406,0.6084500468437433,0.4264326232732334,0.6884578746475195,0.4248776624847527
